,"Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$"
"Haiti","7.4","6.5","7.4","6.6","6.7","6.0","5.4","9.8","9.1","8.8","8.0","2.4","4.4","4.0","2.7","3.1","5.2","6.4"
"Honduras","78.6","80.5","69.6","71.3","68.6","73.7","82.6","71.4","72.0","58.5","53.5","47.4","38.6","30.2","30.6","29.1","28.5","33.3"
"Hungary","674.6","619.0","590.1","671.3","655.9","623.2","704.2","655.0","641.5","756.9","680.1","628.4","628.1","555.9","477.9","327.6","240.6","215.6"
"Iceland","4980.3","4127.3","3460.5","3603.3","3234.4","2963.0","3096.1","2931.4","3027.8","4084.9","5021.1","4156.5","4241.9","3652.8","3229.9","2517.3","2059.3","2315.5"
"India","18.8","16.3","15.1","13.5","13.0","13.7","14.1","11.9","9.8","8.6","7.5","6.1","5.6","4.5","4.1","3.7","3.7","3.8"
"Indonesia","55.6","49.9","40.4","37.6","33.5","32.2","29.1","23.7","22.3","21.2","20.6","14.3","10.0","9.4","9.5","6.6","6.3","4.6"
"Iran (Islamic Republic of)","243.7","229.9","195.4","192.8","159.2","178.2","175.0","142.6","134.7","111.0","98.0","82.5","63.9","51.4","45.5","41.1","35.9","30.3"
"Iraq","88.0","32.2","35.9","69.5","79.4","67.1","122.3","107.5","126.6","101.7","63.8","37.6","37.4","37.9","12.8","","",""
"Ireland","3647.8","3421.7","3287.9","3829.5","3794.2","3776.4","4024.6","3906.8","4224.2","4454.8","3844.6","3224.7","3104.8","2743.9","2287.6","1729.9","1429.3","1210.0"
"Israel","2000.8","1814.7","1676.1","1761.6","1679.8","1488.0","1508.9","1388.6","1234.8","1300.3","1078.6","982.2","921.6","909.1","886.2","888.2","966.3","944.6"
"Italy","2098.8","2041.9","2020.6","2413.2","2430.4","2379.6","2608.8","2521.9","2603.2","2710.9","2393.2","2200.5","2074.0","1952.6","1625.8","1315.0","1183.0","1104.4"
"Jamaica","198.8","179.4","176.9","147.6","161.4","148.7","153.3","142.7","125.4","147.1","126.8","111.2","94.0","118.6","79.5","99.6","82.4","108.0"
"Japan","3505.8","3508.5","3139.4","3448.4","3653.7","4374.5","4260.0","3326.4","2996.4","2608.3","2252.6","2212.2","2340.1","2308.5","2112.7","1941.7","2007.6","2204.2"
"Jordan","152.6","146.5","168.3","194.4","180.6","199.3","214.2","205.9","222.6","179.3","130.0","104.8","101.0","73.1","80.2","83.0","77.9","71.9"
"Kazakhstan","173.6","157.1","200.1","236.6","255.0","254.5","217.2","168.7","189.2","189.0","118.6","119.5","93.1","65.1","41.3","31.5","29.0","25.7"
"Kenya","32.7","31.4","28.6","27.3","22.9","21.0","17.7","17.1","15.5","15.0","13.1","10.2","8.6","7.3","7.3","6.7","6.3","6.0"
"Kiribati","129.9","115.6","103.7","133.7","132.8","136.5","141.0","127.9","113.3","150.3","126.5","112.1","134.9","136.2","104.0","94.4","87.3","66.6"
"Kuwait","1336.2","900.6","983.0","1181.8","1058.3","1121.5","1089.0","898.4","1267.2","840.1","768.8","779.9","673.9","591.7","572.4","506.5","485.4","351.3"
"Kyrgyzstan","29.9","28.6","30.9","35.6","50.9","49.8","41.6","30.2","30.6","28.3","22.6","23.3","18.4","10.3","8.7","7.1","6.2","5.9"
"Lao People's Democratic Republic","21.8","17.9","18.7","13.8","13.1","6.9","5.2","7.3","12.0","5.0","4.6","4.3","4.8","3.7","4.4","3.6","4.6","4.1"
"Latvia","531.6","488.2","455.1","510.6","484.4","449.9","485.5","414.7","444.2","551.1","471.8","339.9","245.5","220.9","139.8","117.7","99.9","92.2"
"Lebanon","359.9","331.7","326.0","338.5","334.5","358.2","311.7","266.0","232.4","218.2","213.8","192.8","156.4","162.6","154.7","163.1","178.4","169.9"
"Lesotho","65.8","54.6","63.5","72.9","65.5","67.7","68.9","53.6","43.1","38.7","41.6","27.7","20.1","23.9","18.3","13.2","16.4","14.3"
"Liberia","9.7","9.8","8.3","5.8","2.4","5.6","8.7","4.0","4.5","6.3","3.1","2.3","1.7","2.0","1.2","1.5","2.4","2.3"
"Libya","","","","","","","197.8","280.4","244.9","217.5","183.4","153.6","137.2","132.9","125.8","121.2","138.4","119.2"
"Lithuania","705.8","650.0","608.1","679.9","629.0","597.5","650.9","572.4","621.5","662.3","463.6","334.7","266.5","229.8","251.8","185.2","153.6","146.1"
"Luxembourg","4906.9","4747.1","4720.3","5640.7","5488.6","5974.0","6040.5","6402.0","6623.8","6615.5","5686.3","5081.5","4892.9","4731.7","3852.9","3007.7","2609.1","2408.7"
"Madagascar","11.6","11.3","9.3","9.3","7.1","7.7","8.9","8.8","5.8","7.5","8.3","6.4","6.2","6.2","7.9","5.7","6.3","5.2"
"Malawi","9.9","8.3","9.7","7.8","6.9","5.0","8.3","7.3","6.3","7.2","3.3","4.0","4.2","3.3","4.3","4.0","2.6","3.4"
"Malaysia","194.3","182.5","199.7","231.2","209.3","205.2","186.7","154.7","139.4","144.3","123.9","109.7","80.7","79.4","74.5","62.5","58.0","52.0"
